id,Virulence_function,Associated_pathotypes
Vir0487_irp2_7,Siderophore: Yersiniabactin,ExPEC
Vir0488_fimA_5,Adhesion: Type I Fimbriae,ExPEC
Vir0489_icmF_2,Hypothetical Protein,EAEC
Vir0491_sepD_1,Hypothetical Protein,EPEC
Vir0492_ecpA_1,Adhesion: E.coli common pilus,ETEC
Vir0493_eaeH_7,Adhesion,EAEC
Vir0494_aec28_4,Secretion system: Type VI,EHEC
Vir0495_nleC_2,Secretion system: Type III,EHEC
Vir0497_iucA_2,Siderophore: Aerobactin,UPEC|APEC
Vir0498_focC_1,NA,UPEC
Vir0499_tccP2_2,Secretion system: Type III,EHEC
Vir0501_espO1_3,Hypothetical Protein,EHEC
Vir0502_chuU_2,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0503_ecpB_7,Adhesion: E.coli common pilus,AIEC
Vir0505_Z0260_1,Hypothetical Protein,EHEC
Vir0506_aec24_3,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0507_sfaA_1,Adhesion: S Fimbriae,ExPEC
Vir0508_aaiK_1,Hypothetical Protein,StxEAEC
Vir0509_iroD_1,Siderophore: Salmochelin,ExPEC
Vir0511_espW_1,Hypothetical Protein,EHEC
Vir0513_G2583_1,NA,EPEC
Vir0514_cah_3,Adhesion,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir0515_ybtQ_2,Siderophore: Yersiniabactin,ExPEC
Vir0516_glrR_2,NA,EHEC
Vir0517_aec30_3,Secretion system: Type VI: Toxin,EHEC
Vir0518_fimD_5,Adhesion: Type I Fimbriae,ExPEC
Vir0521_ybtP_5,Siderophore: Yersiniabactin,ExPEC
Vir0522_escI_1,Secretion system: Type III,EHEC
Vir0523_ECO11_1,Secretion system: Type III,EHEC
Vir0524_iroC_2,Siderophore: Salmochelin,ExPEC
Vir0525_ybtT_4,Siderophore: Yersiniabactin,ExPEC
Vir0526_aec30_4,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir0528_ecpB_8,Adhesion: E.coli common pilus,NMEC
Vir0530_ECABU_1,Hypothetical Protein,UPEC
Vir0531_iucC_3,Siderophore: Aerobactin,UPEC|APEC
Vir0533_ybtT_5,Siderophore: Yersiniabactin,ExPEC
Vir0534_fimB_1,Adhesion: Type I Fimbriae,EPEC
Vir0535_ibeC_8,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0537_faeE_1,Adhesion: Fimbriae,ETEC
Vir0538_sitB_4,Iron: Transport,ExPEC
Vir0541_cesD_2,Secretion system: Type III,EHEC
Vir0542_ybtT_6,Siderophore: Yersiniabactin,ExPEC
Vir0543_espX1_2,Hypothetical Protein,EPEC
Vir0544_espY2_1,Hypothetical Protein,EHEC
Vir0545_ecpC_9,Adhesion: E.coli common pilus,UPEC
Vir0546_chuT_7,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0547_cah_4,Autotransporter: calcium-binding and heat-extractable autotransporter protein,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir0548_sepD_2,NA,EHEC
Vir0549_iucA_3,Siderophore: Aerobactin,UPEC|APEC
Vir0550_iroE_2,Siderophore: Salmochelin,ExPEC
Vir0551_irp1_2,Siderophore: Yersiniabactin,ExPEC
Vir0552_sfaF_2,Adhesion: S Fimbriae,ExPEC
Vir0553_chuT_8,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0554_aaiB_1,Hypothetical Protein,StxEAEC
Vir0555_fimC_5,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir0557_aatP_3,NA,ETEC
Vir0558_tir_3,Adhesion: Intimin,EPEC
Vir0559_fimI_6,Adhesion: Type I Fimbriae,UPEC
Vir0560_aec15_5,Secretion system: Type VI,UPEC
Vir0561_ybtP_6,Siderophore: Yersiniabactin,ExPEC
Vir0562_aec26_5,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0563_aec16_2,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir0565_papC_3,Adhesion: P Fimbriae,ExPEC
Vir0567_espX1_3,Secretion system: Type III,EPEC
Vir0568_aec19_1,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0569_aec23_5,Secretion system: Type VI: Hypothetical Protein,EAEC
Vir0570_aec31_6,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0571_nleG6_2,Secretion system: Type III,EHEC
Vir0572_aatB_1,NA,EAEC
Vir0573_aec27_6,Secretion system: Type VI,NMEC
Vir0574_fimA_6,Adhesion: Type I Fimbriae,ExPEC
Vir0576_ECS88_4,Secretion system: ACE T6SS,NMEC
Vir0580_papH_1,Adhesion: P Fimbriae,ExPEC
Vir0581_usp_2,Toxin: Colicin-like Usp,UPEC
Vir0582_aec27_7,Secretion system: Type VI,EHEC
Vir0585_espM2_3,Secretion system: Type III,EHEC
Vir0586_fimH_6,Adhesion: Type I Fimbriae,ExPEC
Vir0587_ECO26_1,Secretion system: Type III,EHEC
Vir0588_aec30_5,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir0589_ECO55_1,Hypothetical Protein,EPEC
Vir0590_fimA_7,Adhesion: Type I Fimbriae,ExPEC
Vir0592_ybtS_4,Siderophore: Yersiniabactin,ExPEC
Vir0593_aec29_4,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0594_ibeC_9,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0595_espL1_3,NA,EPEC|EHEC
Vir0597_ybtQ_3,Siderophore: Yersiniabactin,ExPEC
Vir0598_papK_1,Adhesion: P Fimbriae,ExPEC
Vir0599_espB_4,NA,EHEC
Vir0600_fimF_7,Adhesion: Type I Fimbriae,ExPEC
Vir0605_espJ_2,Secretion system: Type III,EHEC
Vir0606_aec26_6,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0607_aaiJ_2,Hypothetical Protein,EAEC
Vir0609_escT_3,Secretion system: Type III,EHEC
Vir0610_cah_5,Autotransporter: calcium-binding and heat-extractable autotransporter protein,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir0611_papB_2,Adhesion: P Fimbriae,ExPEC
Vir0612_ECO55_2,Hypothetical Protein,EPEC
Vir0613_sfaB_1,Adhesion: S Fimbriae,ExPEC
Vir0614_aaiF_2,Secretion system: Type VI,EAEC
Vir0616_aec25_4,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0617_espY4_3,Hypothetical Protein,EHEC
Vir0618_ecpA_2,Adhesion: E.coli common pilus,UPEC
Vir0619_escJ_3,NA,EPEC
Vir0620_ecpC_10,Adhesion: E.coli common pilus,ETEC
Vir0621_iroC_3,Siderophore: Salmochelin,ExPEC
Vir0622_ecpR_6,Adhesion: E.coli common pilus,K12
Vir0623_aec32_4,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir0624_escN_1,NA,EHEC
Vir0625_papD_2,Adhesion: P Fimbriae,ExPEC
Vir0626_espF_2,Secretion system: Type III,EHEC
Vir0627_espY1_1,Hypothetical Protein,EHEC
Vir0628_ECP_0_1,Hypothetical Protein,UPEC
Vir0630_sepQ_3,Secretion system: Type III,EHEC
Vir0631_ECNA1_4,Hypothetical Protein,UPEC
Vir0632_cfaC_2,Adhesion: CFA/I Fimbriae,EHEC
Vir0633_espJ_3,Hypothetical Protein,EHEC
Vir0635_fimF_8,Adhesion: Type I Fimbriae,ExPEC
Vir0636_ecpE_7,Adhesion: E.coli common pilus,AIEC
Vir0637_ECO55_6,Hypothetical Protein,EPEC
Vir0638_nleG5_3,Hypothetical Protein,EHEC
Vir0639_nleA_4,Secretion system: Type III,EHEC
Vir0642_ECO10_5,Hypothetical Protein,EHEC
Vir0643_nleD_1,NA,EHEC
Vir0645_EC042_6,Secretion system: Type VI,EAEC
Vir0647_espO1_4,Secretion system: Type III,EHEC
Vir0648_ECs45_3,Hypothetical Protein,EHEC
Vir0650_nleH1_4,Secretion system: Type III,EHEC
Vir0651_hlyB_2,Toxin: Alpha-Hemolysin,EHEC
Vir0652_espO1_5,Secretion system: Type III,EHEC
Vir0653_espX1_4,Hypothetical Protein,EHEC
Vir0654_ecpD_3,Adhesion: E.coli common pilus,UPEC
Vir0655_EcE24_1,Hypothetical Protein,ETEC
Vir0656_hlyA_2,Toxin: Alpha-Hemolysin,ExPEC
Vir0657_aec28_5,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir0658_aec17_4,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0659_upaG_6,Adhesion,NMEC
Vir0660_espX4_2,Hypothetical Protein,EHEC|EPEC
Vir0661_iroN_3,Siderophore: Salmochelin,ExPEC
Vir0662_aec22_3,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0663_aaiN_2,Secretion system: Type VI,EAEC
Vir0664_ECS88_6,Secretion system: SCI-I T6SS,NMEC
Vir0665_papH_2,Adhesion: P Fimbriae,ExPEC
Vir0666_upaG_7,Invasion,ETEC
Vir0667_hlyD_3,Toxin: Alpha-Hemolysin,UPEC
Vir0669_fimE_4,Adhesion: Type I Fimbriae,ExPEC
Vir0670_chuA_4,Iron: E.coli hemin uptake,EHEC
Vir0675_fimC_6,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir0676_ECABU_2,Hypothetical Protein,UPEC
Vir0677_fimH_7,Adhesion: Type I Fimbriae,ExPEC
Vir0678_ybtX_2,Siderophore: Yersiniabactin,ExPEC
Vir0679_espM1_1,NA,EHEC
Vir0680_fimG_4,Adhesion: Type I Fimbriae,ExPEC
Vir0681_espW_2,NA,EPEC
Vir0682_sat_1,Toxin,UPEC
Vir0683_papE_4,Adhesion: P Fimbriae,ExPEC
Vir0684_set1A_1,Toxin: Enterotoxin,EAEC
Vir0685_aec7_2,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0687_cfaA_3,Adhesion: CFA/I Fimbriae,EHEC
Vir0688_fimA_8,Adhesion: Type I Fimbriae,ExPEC
Vir0690_EcE24_2,Secretion system: Type IV/VI,ETEC
Vir0691_ECO10_6,Secretion system: Type III,EHEC
Vir0692_map_4,Secretion system: Type III,EHEC
Vir0694_ECO10_7,Secretion system: Type III,EHEC
Vir0696_nleE_1,Secretion system: Type III,EHEC
Vir0697_ybtE_3,Siderophore: Yersiniabactin,ExPEC
Vir0698_iroE_3,Siderophore: Salmochelin,ExPEC
Vir0699_chuU_3,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0700_nleG5_4,Secretion system: Type III,EHEC
Vir0701_nleD_2,Hypothetical Protein,EPEC
Vir0703_fimE_5,Adhesion: Type I Fimbriae,ExPEC
Vir0704_sitD_3,Iron: Transport,ExPEC
Vir0705_papH_3,Adhesion: P Fimbriae,ExPEC
Vir0706_ECP_2_2,Secretion system: SCI-I T6SS,UPEC
Vir0707_iroC_4,Siderophore: Salmochelin,ExPEC
Vir0709_hlyA_3,Toxin: Alpha-Hemolysin,ExPEC
Vir0710_ehaB_5,Autotransporter: adhesion/biofilm formation,APEC
Vir0711_aec28_6,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0713_NRG85_5,Hypothetical Protein,AIEC
Vir0714_tia_2,Adhesion/Invasion,UPEC
Vir0717_tia_3,Adhesion/Invasion,EAEC
Vir0718_chuU_4,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0719_ibeB_4,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir0720_EC559_3,Hypothetical Protein,EAEC
Vir0721_nleC_3,Secretion system: Type III,EPEC
Vir0722_ecpR_7,Adhesion: E.coli common pilus,NMEC
Vir0723_iucD_2,Siderophore: Aerobactin,UPEC|APEC
Vir0726_O3M_0_1,Hypothetical Protein,StxEAEC
Vir0727_fimE_6,Adhesion: Type I Fimbriae,ExPEC
Vir0728_aec24_4,Secretion system: Type VI,EPEC
Vir0729_i02_3_3,Hypothetical Protein,UPEC
Vir0730_G2583_2,Hypothetical Protein,EPEC
Vir0731_usp_3,Toxin: Colicin-like Usp,NMEC
Vir0732_papE_5,Adhesion: P Fimbriae,ExPEC
Vir0733_upaG_8,Adhesion,StxEAEC
Vir0735_iucA_4,Siderophore: Aerobactin,UPEC|APEC
Vir0738_aec19_2,Secretion system: Type VI: Hypothetical Protein,StxEAEC
Vir0739_aec19_3,Secretion system: Type VI: Hypothetical Protein,APEC
Vir0742_tia_4,Adhesion/Invasion,UPEC
Vir0743_cah_6,Adhesion,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir0744_APECO_3,Hypothetical Protein,APEC
Vir0747_fimC_7,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir0749_papE_6,Adhesion: P Fimbriae,ExPEC
Vir0751_ybtQ_4,Siderophore: Yersiniabactin,ExPEC
Vir0752_iucA_5,Siderophore: Aerobactin,UPEC|APEC
Vir0755_ECP_2_3,Secretion system: SCI-I T6SS,UPEC
Vir0756_nleG2_3,Hypothetical Protein,EHEC
Vir0757_E2348_1,Secretion system: Type III,EPEC
Vir0758_ecpD_4,Adhesion: E.coli common pilus,AIEC
Vir0759_papF_3,Adhesion: P Fimbriae,ExPEC
Vir0760_espP_1,Protease,EHEC
Vir0761_ecpE_8,Adhesion: E.coli common pilus,EHEC
Vir0763_ECO10_8,Hypothetical Protein,EHEC
Vir0764_nleG5_5,Secretion system: Type III,EHEC
Vir0766_papE_7,Adhesion: P Fimbriae,ExPEC
Vir0767_ibeB_5,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir0769_chuW_1,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0771_chuU_5,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0772_fimD_6,Adhesion: Type I Fimbriae,ExPEC
Vir0773_ecpE_9,Adhesion: E.coli common pilus,ETEC
Vir0774_cesD2_2,NA,EHEC
Vir0776_chuT_9,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0777_focA_2,Adhesion: Fimbriae,UPEC
Vir0778_ecpR_8,Adhesion: E.coli common pilus,EHEC
Vir0779_fimH_8,Adhesion: Type I Fimbriae,ExPEC
Vir0780_papC_4,Adhesion: P Fimbriae,ExPEC
Vir0781_chuX_3,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0782_aec22_4,Secretion system: Type VI,EAEC
Vir0784_ecpA_3,Adhesion: E.coli common pilus,APEC
Vir0786_eaeH_8,Adhesion,EHEC
Vir0787_c3389_1,Hypothetical Protein,UPEC
Vir0789_fimH_9,Adhesion: Type I Fimbriae,ExPEC
Vir0791_fimA_9,Adhesion: Type I Fimbriae,ExPEC
Vir0792_fimA_10,Adhesion: Type I Fimbriae,ExPEC
Vir0793_espL2_5,Secretion system: Type III,EPEC
Vir0794_EC042_7,Secretion system: Type VI,EAEC
Vir0795_aec19_4,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0796_papE_8,Adhesion: P Fimbriae,ExPEC
Vir0797_etpA_1,Adhesion,ETEC
Vir0798_papC_5,Adhesion: P Fimbriae,ExPEC
Vir0799_ecpE_10,Adhesion: E.coli common pilus,EPEC
Vir0800_nleB2_2,NA,EHEC
Vir0801_hlyD_4,Toxin: Alpha-Hemolysin,EHEC
Vir0803_ler_2,NA,EPEC
Vir0804_ybtX_3,Siderophore: Yersiniabactin,ExPEC
Vir0805_espL1_4,Secretion system: Type III (ShET2/EspL2 family effector toxin,EPEC|EHEC
Vir0806_ECS88_5,Secretion system: SCI-I T6SS,NMEC
Vir0808_iroN_4,Siderophore: Salmochelin,ExPEC
Vir0812_ybtU_4,Siderophore: Yersiniabactin,ExPEC
Vir0813_cesD2_3,Hypothetical Protein,EPEC
Vir0816_iutA_2,Siderophore: Aerobactin,ExPEC
Vir0817_LF82_3,Secretion system: SCI-I T6SS,AIEC
Vir0820_sat_2,Protease,UPEC
Vir0825_ehaB_6,Autotransporter: adhesion/biofilm formation,AIEC
Vir0826_cfaB_2,Adhesion: CFA/I Fimbriae,EHEC
Vir0827_chuS_3,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0830_irp2_8,Siderophore: Yersiniabactin,ExPEC
Vir0833_cfaB_3,Adhesion: CFA/I Fimbriae,APEC
Vir0838_chuA_5,Iron: E.coli hemin uptake,EHEC
Vir0840_fimB_2,Adhesion: Type I Fimbriae,UPEC
Vir0842_ecpB_9,Adhesion: E.coli common pilus,UPEC
Vir0843_eaeH_9,Hypothetical Protein,EPEC
Vir0845_ECABU_3,Hypothetical Protein,UPEC
Vir0846_ybtU_5,Siderophore: Yersiniabactin,ExPEC
Vir0847_aec29_5,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0849_EC559_4,Hypothetical Protein,EAEC
Vir0850_fimB_3,Adhesion: Type I Fimbriae,UPEC
Vir0851_iroC_5,Siderophore: Salmochelin,ExPEC
Vir0853_ECNA1_5,Hypothetical Protein,UPEC
Vir0854_faeC_1,Secretion system: Type VI: Adhesion: Fimbriae,ETEC
Vir0855_ybtQ_5,Siderophore: Yersiniabactin,ExPEC
Vir0856_ecpE_11,Adhesion: E.coli common pilus,NMEC
Vir0857_upaG_9,NA,NMEC
Vir0859_fimI_7,Adhesion: Type I Fimbriae,EHEC
Vir0860_sat_3,Toxin,UPEC
Vir0861_map_5,NA,EHEC
Vir0862_aec32_5,Secretion system: Type VI,EHEC
Vir0863_EcE24_3,Hypothetical Protein,ETEC
Vir0864_ibeB_6,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir0865_ecpR_9,Adhesion: E.coli common pilus,EPEC
Vir0866_tsh_1,Autotransporter: Protease,APEC
Vir0867_nleE_2,Secretion system: Type III,EPEC
Vir0868_ybtQ_6,Siderophore: Yersiniabactin,ExPEC
Vir0871_ybtT_7,Siderophore: Yersiniabactin,ExPEC
Vir0873_ECO10_9,Hypothetical Protein,EHEC
Vir0875_aatC_1,NA,StxEAEC
Vir0878_escC_3,Secretion system: Type III,EHEC
Vir0879_espY2_2,Secretion system: Type III,EHEC
Vir0880_aaiC_2,Secretion system: Type VI,EAEC
Vir0885_espK_2,Hypothetical Protein,EHEC
Vir0887_EC042_8,Secretion system: Type VI,EAEC
Vir0888_ybtX_4,Siderophore: Yersiniabactin,ExPEC
Vir0891_ecpD_5,Adhesion: E.coli common pilus,UPEC
Vir0892_sfaA_2,Adhesion: S Fimbriae,ExPEC
Vir0893_sitC_2,Iron: Transport,ExPEC
Vir0896_papH_4,Adhesion: P Fimbriae,ExPEC
Vir0897_aggR_1,NA,StxEAEC
Vir0898_escN_2,Secretion system: Type III,EHEC
Vir0899_ECNA1_6,Hypothetical Protein,UPEC
Vir0900_aec27_8,Secretion system: Type VI,EPEC
Vir0902_ibeB_7,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir0903_fimG_5,Adhesion: Type I Fimbriae,ExPEC
Vir0904_ibeC_10,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0905_aec25_5,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir0906_irp2_9,Siderophore: Yersiniabactin,ExPEC
Vir0907_fimF_9,Adhesion: Type I Fimbriae,ExPEC
Vir0910_ibeB_8,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir0911_iroN_5,Siderophore: Salmochelin,ExPEC
Vir0912_espM2_4,NA,EPEC
Vir0915_aatC_2,NA,ETEC
Vir0917_tia_5,Adhesion/Invasion,EAEC
Vir0919_fimE_7,Adhesion: Type I Fimbriae,ExPEC
Vir0920_nleF_2,Secretion system: Type III,EHEC
Vir0923_aaiE_2,Hypothetical Protein,EAEC
Vir0924_ybtS_5,Siderophore: Yersiniabactin,ExPEC
Vir0926_aafD_1,NA,EAEC
Vir0928_rorf8_1,NA,EHEC
Vir0931_iucA_6,Siderophore: Aerobactin,UPEC|APEC
Vir0932_cdiB_1,Autotransporter: Contact-Dependent Growth Inhibition,UPEC|AIEC
Vir0933_cfaC_3,Adhesion: CFA/I Fimbriae,EAEC
Vir0935_cdiB_2,Autotransporter: Contact-Dependent Growth Inhibition,UPEC|AIEC
Vir0937_EC559_5,Hypothetical Protein,EAEC
Vir0938_espH_1,Secretion system: Type III,EHEC
Vir0939_ECO11_2,Hypothetical Protein,EHEC
Vir0941_fimB_4,Adhesion: Type I Fimbriae,EHEC
Vir0942_cfaC_4,Adhesion: CFA/I Fimbriae,APEC
Vir0943_espK_3,Secretion system: Type III,EHEC
Vir0945_ibeB_9,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir0946_ybtQ_7,Siderophore: Yersiniabactin,ExPEC
Vir0947_espG_1,Hypothetical Protein,EPEC
Vir0948_espL4_2,Secretion system: Type III,EPEC|EHEC
Vir0949_fimI_8,Adhesion: Type I Fimbriae,EHEC
Vir0951_ecpE_12,Adhesion: E.coli common pilus,UPEC
Vir0952_E2348_2,Hypothetical Protein,EPEC
Vir0953_aec25_6,Secretion system: Type VI: Hypothetical Protein,StxEAEC
Vir0954_eae_3,Adhesion: Intimin,"EPEC,EHEC"
Vir0956_cfaD_3,Adhesion: CFA/I Fimbriae,EHEC
Vir0957_sitB_5,Iron: Transport,ExPEC
Vir0958_ehaA_2,Autotransporter: adhesion/biofilm formation,StxEAEC
Vir0960_espR1_2,Secretion system: Type III,EPEC
Vir0961_LF82_4,Secretion system: SCI-I T6SS,AIEC
Vir0962_EC042_9,Secretion system: Type VI,EAEC
Vir0964_ybtX_5,Siderophore: Yersiniabactin,ExPEC
Vir0966_aec7_3,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0968_ibeA_1,Invasion,NMEC|SEPEC|APEC
Vir0969_iucD_3,Siderophore: Aerobactin,UPEC|APEC
Vir0972_ecpR_10,Adhesion: E.coli common pilus,UPEC
Vir0973_rorf8_2,Secretion system: Type III,EPEC
Vir0976_irp2_10,Siderophore: Yersiniabactin,ExPEC
Vir0977_aec31_7,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0978_espF_3,NA,EPEC
Vir0979_ECs45_4,Hypothetical Protein,EHEC
Vir0980_hlyD_5,Toxin: Alpha-Hemolysin,UPEC
Vir0981_aec30_6,Secretion system: Type VI: Hypothetical Protein,APEC
Vir0985_hlyA_4,Toxin: Alpha-Hemolysin,ExPEC
Vir0987_ECOK1_2,NA,NMEC
Vir0989_hlyA_5,Toxin: Alpha-Hemolysin,ExPEC
Vir0991_ECO10_10,NA,EHEC
Vir0993_ecpA_4,Adhesion: E.coli common pilus,EHEC
Vir0994_ibeC_11,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0996_espW_3,Secretion system: Type III,EHEC
Vir0998_agg3C_2,NA,EAEC
Vir0999_aec18_5,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir1000_vat_4,Vacuolating autotransporter toxin,ExPEC
Vir1001_aatC_3,NA,EAEC
Vir1002_glrA_2,NA,EPEC
Vir1003_papG_1,Adhesion: P Fimbriae,ExPEC
Vir1004_aatB_2,Hypothetical Protein,ETEC
Vir1005_papA_1,Adhesion: P Fimbriae,ExPEC
Vir1006_fimG_6,Adhesion: Type I Fimbriae,ExPEC
Vir1007_EcE24_4,Secretion system: Type VI,ETEC
Vir1008_sepZ_2,Secretion system: Type III,EHEC
Vir1011_iroD_2,Siderophore: Salmochelin,ExPEC
Vir1012_fimE_8,Adhesion: Type I Fimbriae,ExPEC
Vir1014_chuT_10,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1017_stx1B_1,Toxin: Shiga,EHEC
Vir1018_fimB_5,Adhesion: Type I Fimbriae,EHEC
Vir1019_fimF_10,Adhesion: Type I Fimbriae,ExPEC
Vir1020_upaG_10,Adhesion,EHEC
Vir1022_aec19_5,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir1023_sitC_3,Iron: Transport,ExPEC
Vir1024_ECO55_3,NA,EPEC
Vir1025_aaiK_2,Secretion system: Type VI,EAEC
Vir1026_aec23_6,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir1027_espB_5,NA,EHEC
Vir1028_aec27_9,Secretion system: Type VI,ETEC
Vir1030_chuX_4,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1031_iutA_3,Siderophore: Aerobactin,ExPEC
Vir1033_ecpR_11,Adhesion: E.coli common pilus,EHEC
Vir1034_chuS_4,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1035_fimG_7,Adhesion: Type I Fimbriae,ExPEC
Vir1036_fyuA_5,Siderophore: Yersiniabactin,ExPEC
Vir1038_espX6_3,Hypothetical Protein,EHEC
Vir1042_papG_2,Adhesion: P Fimbriae,ExPEC
Vir1043_sepZ_3,Secretion system: Type III,EHEC
Vir1044_aec17_5,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir1047_espG_2,Secretion system: Type III,EHEC
Vir1048_ibeB_10,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir1049_aec24_5,Secretion system: Type VI,StxEAEC
Vir1055_ecpE_13,Adhesion: E.coli common pilus,APEC
Vir1056_cesF_2,NA,EHEC
Vir1059_ecpE_14,Adhesion: E.coli common pilus,AIEC
Vir1061_ecpE_15,Adhesion: E.coli common pilus,UPEC
Vir1062_ibeC_12,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir1063_aec23_7,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir1065_aec29_6,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir1066_ehaB_7,Autotransporter: adhesion/biofilm formation,EAEC
Vir1069_ybtS_6,Siderophore: Yersiniabactin,ExPEC
Vir1071_eltA_1,Toxin: Enterotoxin,ETEC
Vir1072_ecpA_5,Adhesion: E.coli common pilus,UPEC
Vir1073_ECS88_13,Secretion system: SCI-I T6SS,NMEC
Vir1075_ECS88_9,Secretion system: SCI-I T6SS,NMEC
Vir1076_papC_6,Adhesion: P Fimbriae,ExPEC
Vir1079_iroN_6,Siderophore: Salmochelin,ExPEC
Vir1081_iucB_2,Siderophore: Aerobactin,UPEC|APEC
Vir1082_EC559_6,Hypothetical Protein,EAEC
Vir1083_ecpR_12,Adhesion: E.coli common pilus,ETEC
Vir1084_papA_2,Adhesion: P Fimbriae,ExPEC
Vir1085_ECABU_4,Hypothetical Protein,UPEC
Vir1086_aec29_7,Secretion system: Type VI,ETEC
Vir1087_aec30_7,Secretion system: Type VI,StxEAEC
Vir1088_sitB_6,Iron: Transport,ExPEC
Vir1090_O3M_0_2,Hypothetical Protein,StxEAEC
Vir1091_upaG_11,Invasion,AIEC
Vir1092_cdiA_1,Autotransporter: Contact-Dependent Growth Inhibition,UPEC|AIEC
Vir1093_aec23_8,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir1095_eae_4,Adhesion: Intimin,"EPEC,EHEC"
Vir1097_ireA_2,Iron,ExPEC
Vir1099_nleB2_3,Secretion system: Type III,EHEC
Vir1100_fimH_10,Adhesion: Type I Fimbriae,ExPEC
Vir1101_espG_3,Secretion system: Type III,EHEC
Vir1102_ibeC_13,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir1104_c3398_1,Hypothetical Protein,UPEC
Vir1106_papH_5,Adhesion: P Fimbriae,ExPEC
