id,gene,gene_function,sub_class,class,source_organism,1st_blast_match,1st_blast_cov,2nd_blast_match,2nd_blast_cov,3rd_blast_match,3rd_blast_cov
Bqacs-g0153_qacEdelta1,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,QACs and biocides resistance,Biocides,Pseudomonas aeruginosa,Bqacs-g0152_qacEdelta1,100,Bqacs-g0154_qacEdelta1,99.425,MUdru-g1106_ttgG,100
Bqacs-g0154_qacEdelta1,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,QACs and biocides resistance,Biocides,Pseudomonas aeruginosa,Bqacs-g0152_qacEdelta1,100,Bqacs-g0153_qacEdelta1,99.425,MUdru-g1106_ttgG,99.645
Bqacs-g0155_qacEdelta1,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,QACs and biocides resistance,Biocides,uncultured bacterium,NA,NA,NA,NA,NA,NA
Bqacs-g0156_qacF,qacF,quaternary ammonium compound efflux SMR transporter QacF,QACs and biocides resistance,Biocides,Pseudomonas aeruginosa,Bqacs-g0161_qacF,100,Bqacs-g0158_qacF,99.7,Bqacs-g0173_qacJ,99.399
Bqacs-g0157_qacF,qacF,quaternary ammonium compound efflux SMR transporter QacF,QACs and biocides resistance,Biocides,Serratia marcescens,Bqacs-g0162_qacF,100,Bqacs-g0160_qacF,99.399,Bqacs-g0158_qacF,99.399
Bqacs-g0158_qacF,qacF,quaternary ammonium compound efflux SMR transporter QacF,QACs and biocides resistance,Biocides,Pseudomonas putida,Bqacs-g0173_qacJ,100,Bqacs-g0162_qacF,99.7,Bqacs-g0159_qacF,99.7
Bqacs-g0159_qacF,qacF,quaternary ammonium compound efflux SMR transporter QacF,QACs and biocides resistance,Biocides,Serratia marcescens,Bqacs-g0158_qacF,100,Bqacs-g0173_qacJ,99.399,Bqacs-g0162_qacF,99.399
Bqacs-g0160_qacF,qacF,quaternary ammonium compound efflux SMR transporter QacF,QACs and biocides resistance,Biocides,Pseudomonas aeruginosa,Bqacs-g0162_qacF,100,Bqacs-g0158_qacF,99.399,Bqacs-g0157_qacF,99.399
Bqacs-g0161_qacF,qacF,quaternary ammonium compound efflux SMR transporter QacF,QACs and biocides resistance,Biocides,Stenotrophomonas maltophilia,Bqacs-g0156_qacF,100,Bqacs-g0158_qacF,99.399,Bqacs-g0173_qacJ,99.099
Bqacs-g0162_qacF,qacF,quaternary ammonium compound efflux SMR transporter QacF,QACs and biocides resistance,Biocides,Klebsiella pneumoniae,Bqacs-g0160_qacF,100,Bqacs-g0158_qacF,99.7,Bqacs-g0157_qacF,99.7
Bqacs-g0163_qacG,qacG,quaternary ammonium compound efflux SMR transporter QacG,QACs and biocides resistance,Biocides,Staphylococcus aureus,NA,NA,NA,NA,NA,NA
Bqacs-g0164_qacG,qacG,quaternary ammonium compound efflux SMR transporter QacG,QACs and biocides resistance,Biocides,Pseudomonas aeruginosa,Bqacs-g0168_qacG,100,Bqacs-g0167_qacG,99.399,Bqacs-g0165_qacG,99.399
Bqacs-g0165_qacG,qacG,quaternary ammonium compound efflux SMR transporter QacG,QACs and biocides resistance,Biocides,uncultured bacterium,Bqacs-g0166_qacG,100,Bqacs-g0168_qacG,99.399,Bqacs-g0167_qacG,99.399
Bqacs-g0166_qacG,qacG,quaternary ammonium compound efflux SMR transporter QacG,QACs and biocides resistance,Biocides,uncultured bacterium,Bqacs-g0165_qacG,100,Bqacs-g0168_qacG,99.099,Bqacs-g0167_qacG,99.099
Bqacs-g0167_qacG,qacG,quaternary ammonium compound efflux SMR transporter QacG,QACs and biocides resistance,Biocides,uncultured bacterium,Bqacs-g0169_qacG,100,Bqacs-g0168_qacG,99.399,Bqacs-g0165_qacG,99.399
Bqacs-g0168_qacG,qacG,quaternary ammonium compound efflux SMR transporter QacG,QACs and biocides resistance,Biocides,uncultured bacterium,Bqacs-g0170_qacG,100,Bqacs-g0169_qacG,99.7,Bqacs-g0167_qacG,99.399
Bqacs-g0169_qacG,qacG,quaternary ammonium compound efflux SMR transporter QacG,QACs and biocides resistance,Biocides,Aeromonas caviae,Bqacs-g0168_qacG,100,Bqacs-g0167_qacG,99.7,Bqacs-g0170_qacG,99.399
Bqacs-g0170_qacG,qacG,quaternary ammonium compound efflux SMR transporter QacG,QACs and biocides resistance,Biocides,Pseudomonas aeruginosa,Bqacs-g0168_qacG,100,Bqacs-g0169_qacG,99.399,Bqacs-g0167_qacG,99.099
Bqacs-g0171_qacH,qacH,quaternary ammonium compound efflux SMR transporter QacH,QACs and biocides resistance,Biocides,Staphylococcus saprophyticus,Bsodi-g0182_nhaB,100,NA,NA,NA,NA
Bqacs-g0172_qacH,qacH,quaternary ammonium compound efflux SMR transporter QacH,QACs and biocides resistance,Biocides,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Bqacs-g0173_qacJ,qacJ,quaternary ammonium compound efflux SMR transporter QacJ,QACs and biocides resistance,Biocides,bacterium,Bqacs-g0158_qacF,100,Bqacs-g0162_qacF,99.399,Bqacs-g0159_qacF,99.399
Bqacs-g0174_qacL,qacL,quaternary ammonium compound efflux SMR transporter QacL,QACs and biocides resistance,Biocides,Klebsiella pneumoniae,Bqacs-g0175_qacL,100,Bqacs-g0177_qacL,99.099,Bqacs-g0176_qacL,93.093
Bqacs-g0175_qacL,qacL,quaternary ammonium compound efflux SMR transporter QacL,QACs and biocides resistance,Biocides,Salmonella enterica,Bqacs-g0174_qacL,100,Bqacs-g0177_qacL,99.399,Bqacs-g0176_qacL,93.393
Bqacs-g0176_qacL,qacL,quaternary ammonium compound efflux SMR transporter QacL,QACs and biocides resistance,Biocides,Pseudomonas aeruginosa,Bqacs-g0158_qacF,100,Bqacs-g0173_qacJ,97.598,Bqacs-g0162_qacF,97.598
Bqacs-g0177_qacL,qacL,quaternary ammonium compound efflux SMR transporter QacL,QACs and biocides resistance,Biocides,uncultured bacterium,Bqacs-g0175_qacL,100,Bqacs-g0174_qacL,99.099,Bqacs-g0176_qacL,92.793
Bqacs-g0178_qacL,qacL,quaternary ammonium compound efflux SMR transporter QacL,QACs and biocides resistance,Biocides,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Bqacs-g0179_qacZ,qacZ,quaternary ammonium compound efflux SMR transporter QacH,QACs and biocides resistance,Biocides,Enterococcus faecalis ATCC 29212,NA,NA,NA,NA,NA,NA
Bsodi-g0180_chaA,chaA,Sodium resistance protein,Sodium resistance,Biocides,uncultured bacterium,NA,NA,NA,NA,NA,NA
Bsodi-g0181_nhaA,nhaA,Sodium resistance protein,Sodium resistance,Biocides,Staphylococcus aureus,NA,NA,NA,NA,NA,NA
Bsodi-g0182_nhaB,nhaB,Sodium resistance protein,Sodium resistance,Biocides,Enterococcus faecalis V583,Bqacs-g0171_qacH,100,NA,NA,NA,NA
Bsodi-g0183_nhaB,nhaB,Sodium resistance protein,Sodium resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Btolu-g0184_ttgA,ttgA,Toluene efflux RND transporter periplasmic adaptor subunit TtgA,Toluene resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Btolu-g0185_ttgA,ttgA,Toluene efflux RND transporter periplasmic adaptor subunit TtgA,Toluene resistance,Biocides,Escherichia coli,Btrib-g0186_tbtR,100,NA,NA,NA,NA
Btrib-g0186_tbtR,tbtR,tribuytltin resistance regulator TbtR,Tribuyltin resistance,Biocides,Escherichia coli,Btolu-g0185_ttgA,98,NA,NA,NA,NA
Malum-g0187_alu1P,alu1P,Aluminum resistance protein,Aluminum resistance,Metals,Pseudomonas putida DOT-T1E,Malum-g0188_G2alt,100,NA,NA,NA,NA
Malum-g0188_G2alt,G2alt,Aluminum ATPase ,Aluminum resistance,Metals,Pseudomonas putida,Malum-g0187_alu1P,100,NA,NA,NA,NA
Marse-g0189_acr3,acr3,arsenite efflux transporter Acr3,Arsenic resistance,Metals,Stutzerimonas stutzeri,NA,NA,NA,NA,NA,NA
Marse-g0190_acr3,acr3,arsenite efflux transporter Acr3,Arsenic resistance,Metals,Anoxybacillus gonensis,NA,NA,NA,NA,NA,NA
Marse-g0191_aioA,aioA,Arsenite oxidase,Arsenic resistance,Metals,Campylobacter jejuni,NA,NA,NA,NA,NA,NA
Marse-g0192_aioA,aioA,Arsenite oxidase,Arsenic resistance,Metals,Synechocystis sp. IPPAS B-1465,NA,NA,NA,NA,NA,NA
Marse-g0193_aioB,aioB,Arsenite oxidase,Arsenic resistance,Metals,Bacillus subtilis subsp. subtilis str. 168,Marse-g0264_arsB,100,NA,NA,NA,NA
Marse-g0194_aioE,aioE,Arsenite oxidase,Arsenic resistance,Metals,Herminiimonas arsenicoxydans,Marse-g0195_aioR,100,NA,NA,NA,NA
Marse-g0195_aioR,aioR,Arsenite oxidase regulator,Arsenic resistance,Metals,Herminiimonas arsenicoxydans,Marse-g0194_aioE,100,NA,NA,NA,NA
Marse-g0196_aioS,aioS,Arsenite oxidase regulator,Arsenic resistance,Metals,Herminiimonas arsenicoxydans,NA,NA,NA,NA,NA,NA
Marse-g0197_aioX,aioX,Arsenite oxidase regulator,Arsenic resistance,Metals,Agrobacterium tumefaciens GW4,NA,NA,NA,NA,NA,NA
Marse-g0198_arrA,arrA,Arsenic resistance protein,Arsenic resistance,Metals,Agrobacterium tumefaciens,NA,NA,NA,NA,NA,NA
Marse-g0199_arrA,arrA,Arsenic resistance protein,Arsenic resistance,Metals,Agrobacterium tumefaciens,NA,NA,NA,NA,NA,NA
Marse-g0200_arrB,arrB,Arsenic resistance protein,Arsenic resistance,Metals,Agrobacterium tumefaciens,NA,NA,NA,NA,NA,NA
Marse-g0201_arsA,arsA,arsenite efflux transporter ATPase subunit ArsA,Arsenic resistance,Metals,Shewanella sp. ANA-3,Marse-g0202_arsA,100,NA,NA,NA,NA
Marse-g0202_arsA,arsA,arsenite efflux transporter ATPase subunit ArsA,Arsenic resistance,Metals,Shewanella putrefaciens,Marse-g0201_arsA,100,NA,NA,NA,NA
Marse-g0203_arsA,arsA,arsenite efflux transporter ATPase subunit ArsA,Arsenic resistance,Metals,Shewanella sp. ANA-3,NA,NA,NA,NA,NA,NA
Marse-g0204_arsA,arsA,arsenite efflux transporter ATPase subunit ArsA,Arsenic resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium,Marse-g0207_arsC,99,Marse-g0205_arsA,76.531,NA,NA
Marse-g0205_arsA,arsA,arsenite efflux transporter ATPase subunit ArsA,Arsenic resistance,Metals,Escherichia coli,Marse-g0207_arsC,99,Marse-g0204_arsA,76.531,NA,NA
Marse-g0206_arsA,arsA,arsenite efflux transporter ATPase subunit ArsA,Arsenic resistance,Metals,Listeria monocytogenes,Marse-g0208_arsC,35,NA,NA,NA,NA
Marse-g0207_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Klebsiella pneumoniae,Marse-g0204_arsA,99,Marse-g0205_arsA,78.797,NA,NA
Marse-g0208_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Enterococcus faecalis,Marse-g0206_arsA,35,NA,NA,NA,NA
Marse-g0209_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Marse-g0210_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium,Marse-g0212_arsC,100,Marse-g0217_arsC,84.977,Marse-g0222_arsD,83.607
Marse-g0211_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Staphylococcus aureus,Marse-g0214_arsC,100,NA,NA,NA,NA
Marse-g0212_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Escherichia coli,Marse-g0210_arsC,100,Marse-g0222_arsD,84.778,Marse-g0221_arsD,84.309
Marse-g0213_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Yersinia enterocolitica,Marse-g0217_arsC,100,Marse-g0210_arsC,77.804,Marse-g0212_arsC,76.995
Marse-g0214_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Staphylococcus xylosus,Marse-g0211_arsC,100,NA,NA,NA,NA
Marse-g0215_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Synechocystis sp. IPPAS B-1465,NA,NA,NA,NA,NA,NA
Marse-g0216_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Bacillus subtilis subsp. subtilis str. 168,NA,NA,NA,NA,NA,NA
Marse-g0217_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Klebsiella pneumoniae,Marse-g0222_arsD,100,Marse-g0210_arsC,84.977,Marse-g0212_arsC,84.272
Marse-g0218_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Staphylococcus aureus,Marse-g0219_arsC,98,Marse-g0220_arsD,96.97,NA,NA
Marse-g0219_arsC,arsC,glutaredoxin-dependent arsenate reductase ArsC,Arsenic resistance,Metals,Staphylococcus aureus,Marse-g0220_arsD,99,Marse-g0218_arsC,98.205,NA,NA
Marse-g0220_arsD,arsD,arsenite efflux transporter metallochaperone ArsD,Arsenic resistance,Metals,Staphylococcus aureus,Marse-g0219_arsC,98,Marse-g0218_arsC,96.97,NA,NA
Marse-g0221_arsD,arsD,arsenite efflux transporter metallochaperone ArsD,Arsenic resistance,Metals,Escherichia coli,Marse-g0222_arsD,100,Marse-g0212_arsC,84.309,Marse-g0210_arsC,83.607
Marse-g0222_arsD,arsD,arsenite efflux transporter metallochaperone ArsD,Arsenic resistance,Metals,Shigella sonnei,Marse-g0221_arsD,100,Marse-g0217_arsC,86.62,Marse-g0212_arsC,84.778
Marse-g0223_arsD,arsD,arsenite efflux transporter metallochaperone ArsD,Arsenic resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium,Marse-g0229_arsM,100,NA,NA,NA,NA
Marse-g0224_arsD,arsD,arsenite efflux transporter metallochaperone ArsD,Arsenic resistance,Metals,Escherichia coli,Marse-g0246_arsT,56,NA,NA,NA,NA
Marse-g0225_arsD,arsD,arsenite efflux transporter metallochaperone ArsD,Arsenic resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Marse-g0226_arsD,arsD,arsenite efflux transporter metallochaperone ArsD,Arsenic resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Marse-g0227_arsD,arsD,arsenite efflux transporter metallochaperone ArsD,Arsenic resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Marse-g0228_arsH,arsH,Arsenic resistance NADPH-dependent reductase ArsH,Arsenic resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Marse-g0229_arsM,arsM,Arsenic resistance protein ArsM,Arsenic resistance,Metals,Escherichia coli,Marse-g0223_arsD,100,NA,NA,NA,NA
Marse-g0230_arsP,arsP,organoarsenical efflux permease ArsP,Arsenic resistance,Metals,Synechocystis sp. IPPAS B-1465,NA,NA,NA,NA,NA,NA
Marse-g0231_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Yersinia pestis,NA,NA,NA,NA,NA,NA
Marse-g0232_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Rhodopseudomonas palustris,NA,NA,NA,NA,NA,NA
Marse-g0233_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Campylobacter jejuni,NA,NA,NA,NA,NA,NA
Marse-g0234_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Enterococcus faecalis,NA,NA,NA,NA,NA,NA
Marse-g0235_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Escherichia coli,Marse-g0241_arsR,93,NA,NA,NA,NA
Marse-g0236_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Staphylococcus aureus,Marse-g0237_arsR,99,NA,NA,NA,NA
Marse-g0237_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Staphylococcus xylosus,Marse-g0236_arsR,99,NA,NA,NA,NA
Marse-g0238_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Marse-g0239_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Yersinia enterocolitica subsp. palearctica,Marse-g0243_arsR,100,NA,NA,NA,NA
Marse-g0240_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Marse-g0241_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Klebsiella pneumoniae,Marse-g0235_arsR,94,Marse-g0246_arsT,85.152,Marse-g0245_arsR,85.152
Marse-g0242_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Escherichia coli,Marse-g0247_pstA,100,NA,NA,NA,NA
Marse-g0243_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Yersinia enterocolitica,Marse-g0239_arsR,90,NA,NA,NA,NA
Marse-g0244_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Bacillus subtilis subsp. subtilis str. 168,NA,NA,NA,NA,NA,NA
Marse-g0245_arsR,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,Arsenic resistance,Metals,Escherichia coli,Marse-g0246_arsT,100,Marse-g0241_arsR,85.152,NA,NA
Marse-g0246_arsT,arsT,Arsenic resistance protein (partial gene),Arsenic resistance,Metals,Escherichia coli,Marse-g0245_arsR,59,Marse-g0224_arsD,100,Marse-g0241_arsR,85.152
Marse-g0247_pstA,pstA,Arsenic resistance protein,Arsenic resistance,Metals,Escherichia coli,Marse-g0242_arsR,100,NA,NA,NA,NA
Marse-g0248_pstB,pstB,Arsenic resistance protein,Arsenic resistance,Metals,Glaesserella parasuis,NA,NA,NA,NA,NA,NA
Marse-g0249_pstC,pstC,Arsenic resistance protein,Arsenic resistance,Metals,Microbacterium sp. str. 'China',NA,NA,NA,NA,NA,NA
Marse-g0250_pstS,pstS,Arsenic resistance protein,Arsenic resistance,Metals,Escherichia coli,NA,NA,NA,NA,NA,NA
Marse-g0251_pstS,pstS,Arsenic resistance protein,Arsenic resistance,Metals,Escherichia coli,NA,NA,NA,NA,NA,NA
Marse-g0252_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Escherichia coli,NA,NA,NA,NA,NA,NA
Marse-g0253_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Escherichia coli,Marse-g0254_arsB,100,NA,NA,NA,NA
Marse-g0254_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Escherichia coli,Marse-g0253_arsB,100,NA,NA,NA,NA
Marse-g0255_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Staphylococcus aureus,Marse-g0258_arsB,100,NA,NA,NA,NA
Marse-g0256_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Escherichia coli,Mcadm-g0267_cadA,100,Marse-g0261_arsB,84.145,Mcadm-g0265_cadA,82.135
Marse-g0257_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Yersinia enterocolitica,Mcadm-g0267_cadA,100,NA,NA,NA,NA
Marse-g0258_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Staphylococcus xylosus,Marse-g0255_arsB,100,NA,NA,NA,NA
Marse-g0259_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Marse-g0260_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Listeria monocytogenes,Marse-g0263_arsB,97,NA,NA,NA,NA
Marse-g0261_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Klebsiella pneumoniae,Mcadm-g0267_cadA,100,Marse-g0256_arsB,84.145,Mcadm-g0265_cadA,83.101
Marse-g0262_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Marse-g0263_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Listeria monocytogenes,Marse-g0260_arsB,97,NA,NA,NA,NA
Marse-g0264_arsB,arsB,Arsenite/antimonite:H+ antiporter ArsB,"Arsenic resistance, antimony resistance",Metals,Bacillus subtilis,Marse-g0193_aioB,100,NA,NA,NA,NA
Mcadm-g0265_cadA,cadA,Cadmium-translocating P-type ATPase CadA,Cadmium resistance,Metals,Escherichia coli,Marse-g0261_arsB,100,Mcadm-g0267_cadA,82.921,Marse-g0256_arsB,82.135
Mcadm-g0266_cadA,cadA,Cadmium-translocating P-type ATPase CadA,Cadmium resistance,Metals,Staphylococcus aureus,NA,NA,NA,NA,NA,NA
Mcadm-g0267_cadA,cadA,Cadmium-translocating P-type ATPase CadA,Cadmium resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium,Marse-g0261_arsB,100,Marse-g0256_arsB,84.895,Mcadm-g0265_cadA,82.921
Mcadm-g0268_cadA,cadA,Cadmium-translocating P-type ATPase CadA,Cadmium resistance,Metals,Streptococcus suis,Mcadm-g0272_cadC,100,Mcadm-g0274_cadR,99.615,Mcadm-g0271_cadC,99.615
Mcadm-g0269_cadC,cadC,Cd(II)/Pb(II)/Zn(II)-sensing metalloregulatory transcriptional repressor CadC,Cadmium resistance,Metals,Streptococcus suis,Mcadm-g0271_cadC,100,Mcadm-g0268_cadA,99.422,Mcadm-g0273_cadD,99.229
Mcadm-g0270_cadC,cadC,Cd(II)/Pb(II)/Zn(II)-sensing metalloregulatory transcriptional repressor CadC,Cadmium resistance,Metals,Streptococcus suis,Mcadm-g0271_cadC,100,Mcadm-g0268_cadA,99.422,Mcadm-g0272_cadC,99.229
Mcadm-g0271_cadC,cadC,Cd(II)/Pb(II)/Zn(II)-sensing metalloregulatory transcriptional repressor CadC,Cadmium resistance,Metals,Streptococcus suis,Mcadm-g0270_cadC,100,Mcadm-g0268_cadA,99.615,Mcadm-g0272_cadC,99.422
Mcadm-g0272_cadC,cadC,Cd(II)/Pb(II)/Zn(II)-sensing metalloregulatory transcriptional repressor CadC,Cadmium resistance,Metals,Streptococcus suis,Mcadm-g0268_cadA,100,Mcadm-g0274_cadR,99.422,Mcadm-g0271_cadC,99.422
Mcadm-g0273_cadD,cadD,cadmium resistance transporter CadD,Cadmium resistance,Metals,Streptococcus suis,Mcadm-g0269_cadC,100,Mcadm-g0274_cadR,99.037,Mcadm-g0271_cadC,99.037
Mcadm-g0274_cadR,cadR,cadmium resistance transcriptional regulator CadR,Cadmium resistance,Metals,Streptococcus suis,Mcadm-g0268_cadA,100,Mcadm-g0272_cadC,99.422,Mcadm-g0271_cadC,99.229
Mchro-g0275_ceuE,ceuE,Chromate ABC efflux pump,Chromium resistance,Metals,Streptococcus suis,Mcadm-g0273_cadD,100,Mcadm-g0274_cadR,97.115,Mcadm-g0271_cadC,97.115
Mchro-g0276_chrA,chrA,Chromate resistance efflux protein ChrA,Chromium resistance,Metals,Burkholderia pseudomallei,Mchro-g0281_chrB1,100,Mchro-g0280_chrB1,99.591,Mchro-g0279_chrA,99.591
Mchro-g0277_chrA,chrA,Chromate resistance efflux protein ChrA,Chromium resistance,Metals,Burkholderia pseudomallei,Mchro-g0281_chrB1,100,Mchro-g0280_chrB1,99.591,Mchro-g0279_chrA,99.591
Mchro-g0278_chrA,chrA,Chromate resistance efflux protein ChrA,Chromium resistance,Metals,Burkholderia pseudomallei,Mchro-g0281_chrB1,100,Mchro-g0280_chrB1,99.591,Mchro-g0279_chrA,99.591
Mchro-g0279_chrA,chrA,Chromate resistance efflux protein ChrA,Chromium resistance,Metals,Burkholderia pseudomallei MSHR491,Mchro-g0281_chrB1,100,Mchro-g0280_chrB1,99.591,Mchro-g0278_chrA,99.591
Mchro-g0280_chrB1,chrB1,Chromium resistance protein,Chromium resistance,Metals,Burkholderia pseudomallei,Mchro-g0281_chrB1,100,Mchro-g0279_chrA,99.591,Mchro-g0278_chrA,99.591
Mchro-g0281_chrB1,chrB1,Chromium resistance protein,Chromium resistance,Metals,Burkholderia pseudomallei,Mchro-g0280_chrB1,100,Mchro-g0279_chrA,99.591,Mchro-g0278_chrA,99.591
Mchro-g0282_chrC,chrC,Chromium resistance protein,Chromium resistance,Metals,Enterococcus saigonensis,NA,NA,NA,NA,NA,NA
Mchro-g0283_chrE,chrE,Chromium resistance protein,Chromium resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Mchro-g0284_chrF,chrF,Chromium resistance regulator,Chromium resistance,Metals,Helicobacter pylori,Mchro-g0285_chrI,100,NA,NA,NA,NA
Mchro-g0285_chrI,chrI,Chromium resistance regulator,Chromium resistance,Metals,Helicobacter pylori,Mchro-g0284_chrF,100,NA,NA,NA,NA
Mchro-g0286_chrR,chrR,Class I chromate reductase ChrR,Chromium resistance,Metals,Enterococcus faecalis,NA,NA,NA,NA,NA,NA
Mchro-g0287_chrR,chrR,Class I chromate reductase ChrR,Chromium resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Mchro-g0288_nfsA,nfsA,Chromium resistance protein,Chromium resistance,Metals,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Mchro-g0289_recG,recG,Chromium resistance protein,Chromium resistance,Metals,Staphylococcus aureus,NA,NA,NA,NA,NA,NA
Mchro-g0290_srpcC,srpcC,Chromium resistance protein,Chromium resistance,Metals,Staphylococcus aureus,NA,NA,NA,NA,NA,NA
Mcoba-g0291_czcB,czcB,Multi-metal RND efflux pumps,"Cobalt (Co), Zinc (Zn), Cadmium (Cd)",Metals,Pseudomonas asiatica,NA,NA,NA,NA,NA,NA
Mcoba-g0292_czcB,czcB,Multi-metal RND efflux pumps,"Cobalt (Co), Zinc (Zn), Cadmium (Cd)",Metals,Helicobacter mustelae,NA,NA,NA,NA,NA,NA
Mcoba-g0293_czcB,czcB,Multi-metal RND efflux pumps,"Cobalt (Co), Zinc (Zn), Cadmium (Cd)",Metals,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA
Mcoba-g0294_czcB,czcB,Multi-metal RND efflux pumps,"Cobalt (Co), Zinc (Zn), Cadmium (Cd)",Metals,Brucella tritici,NA,NA,NA,NA,NA,NA
Mcoba-g0295_corT,corT,Cobalt transporting ATPase,Cobalt resistance,Metals,Cupriavidus metallidurans,Mcoba-g0296_nhlF,93,NA,NA,NA,NA
Mcoba-g0296_nhlF,nhlF,Cobalt transporting ATPase,Cobalt resistance,Metals,Cupriavidus metallidurans,Mcoba-g0295_corT,100,NA,NA,NA,NA
